"","bin","completeness","contamination","GC","lineage","N50","size","binner","score","classification","fastani_reference","fastani_reference_radius","fastani_taxonomy","fastani_ani","fastani_af","closest_placement_reference","closest_placement_radius","closest_placement_taxonomy","closest_placement_ani","closest_placement_af","pplacer_taxonomy","classification_method","note","other_related_references.genome_id.species_name.radius.ANI.AF.","msa_percent","translation_table","red_value","warnings","Domain","Phylum","Class","Order","Family","Genus","Species","bestClassification","bestClassificationRank","sample","Name","Type","Location","Niche","LocaNiche","location.and.niche","Micro.niche","count16S","status16S","classification16S","classification16S.DB","classification16S.rank1","classification16S.rank2","classification16S.rank3","classification16S.rank4","classification16S.rank5","classification16S.rank6","classification16S.rank7","classification16S.rank8","LR_sed_top_R1.fastq.Relative.Abundance....","LR_sed_top_R1.fastq.Mean","LR_sed_top_R1.fastq.Variance","LR_sed_top_R1.fastq.RPKM","LR_sed_top_R1.fastq.TPM","LR_sed_bottom_R1.fastq.Relative.Abundance....","LR_sed_bottom_R1.fastq.Mean","LR_sed_bottom_R1.fastq.Variance","LR_sed_bottom_R1.fastq.RPKM","LR_sed_bottom_R1.fastq.TPM","AB2_sed_top_R1.fastq.Relative.Abundance....","AB2_sed_top_R1.fastq.Mean","AB2_sed_top_R1.fastq.Variance","AB2_sed_top_R1.fastq.RPKM","AB2_sed_top_R1.fastq.TPM","AB2_sed_bottom_R1.fastq.Relative.Abundance....","AB2_sed_bottom_R1.fastq.Mean","AB2_sed_bottom_R1.fastq.Variance","AB2_sed_bottom_R1.fastq.RPKM","AB2_sed_bottom_R1.fastq.TPM","AB2_mat_1_R1.fastq.Relative.Abundance....","AB2_mat_1_R1.fastq.Mean","AB2_mat_1_R1.fastq.Variance","AB2_mat_1_R1.fastq.RPKM","AB2_mat_1_R1.fastq.TPM","AB2_mat_2_R1.fastq.Relative.Abundance....","AB2_mat_2_R1.fastq.Mean","AB2_mat_2_R1.fastq.Variance","AB2_mat_2_R1.fastq.RPKM","AB2_mat_2_R1.fastq.TPM","AB2_wall_1_R1.fastq.Relative.Abundance....","AB2_wall_1_R1.fastq.Mean","AB2_wall_1_R1.fastq.Variance","AB2_wall_1_R1.fastq.RPKM","AB2_wall_1_R1.fastq.TPM","AB2_wall_2_R1.fastq.Relative.Abundance....","AB2_wall_2_R1.fastq.Mean","AB2_wall_2_R1.fastq.Variance","AB2_wall_2_R1.fastq.RPKM","AB2_wall_2_R1.fastq.TPM","AB2_WF_1_R1.fastq.Relative.Abundance....","AB2_WF_1_R1.fastq.Mean","AB2_WF_1_R1.fastq.Variance","AB2_WF_1_R1.fastq.RPKM","AB2_WF_1_R1.fastq.TPM","LR_WF_2_R1.fastq.Relative.Abundance....","LR_WF_2_R1.fastq.Mean","LR_WF_2_R1.fastq.Variance","LR_WF_2_R1.fastq.RPKM","LR_WF_2_R1.fastq.TPM"
"AB2_mat_1_bin.12","AB2_mat_1_bin.12",82.82,2.364,0.564,"Bacteria",29820,3355654,"binsAB",24.6195005945303,"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Terrimicrobiaceae;g__JAJTZA01;s__","N/A","N/A","N/A","N/A","N/A","GCA_021463905.1","95.0","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Terrimicrobiaceae;g__JAJTZA01;s__JAJTZA01 sp021463905","75.75","0.075","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Terrimicrobiaceae;g__JAJTZA01;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",64.83,11,"0.88984","N/A","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Terrimicrobiaceae","JAJTZA01","","JAJTZA01","Genus","AB2_mat_1","AB2_mat_1","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",0,"no hits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8039481,46.284294,529.99976,3.9860265,13010.76,1.3080698,75.53967,1173.8223,6.2046976,20365.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB2_mat_1_bin.21","AB2_mat_1_bin.21",95.5,1.222,0.688,"Rhodobacteraceae",30718,3407018,"binsAC",42.979297929793,"d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Albidovulum;s__","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Albidovulum;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_008933605.1, s__Albidovulum sp008933605, 95.0, 83.98, 0.663; GCA_020637675.1, s__Albidovulum sp020637675, 95.0, 83.86, 0.79; GCA_011620265.1, s__Albidovulum sp011620265, 95.0, 83.34, 0.69; GCA_002280515.1, s__Albidovulum sp002280515, 95.0, 82.65, 0.726; GCA_002841115.1, s__Albidovulum sp002841115, 95.0, 82.34, 0.586; GCA_020446905.1, s__Albidovulum sp020446905, 95.0, 81.39, 0.683; GCA_020637635.1, s__Albidovulum sp020637635, 95.0, 81.38, 0.568; GCA_020161655.1, s__Albidovulum sp020161655, 95.0, 80.94, 0.635; GCF_002973535.1, s__Albidovulum denitrificans, 95.0, 80.43, 0.62; GCA_002440625.1, s__Albidovulum sp002440625, 95.0, 80.08, 0.518; GCA_024236495.1, s__Albidovulum sp024236495, 95.0, 80.06, 0.484; GCF_900302475.1, s__Albidovulum aquaemixtae, 95.0, 80.03, 0.59; GCA_020447005.1, s__Albidovulum sp020447005, 95.0, 78.9, 0.42; GCF_002927635.1, s__Albidovulum inexpectatum, 95.0, 78.38, 0.399; GCA_020446815.1, s__Albidovulum sp020446815, 95.0, 78.25, 0.39",88.64,11,"0.97356","Genome not assigned to closest species as it falls outside its pre-defined ANI radius","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Albidovulum","","Albidovulum","Genus","AB2_mat_1","AB2_mat_1","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",0,"no hits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0074607655,0.27112806,0.63315374,0.6482222,1668.7979,0,0,0,0,0,0.0037344913,0.21087122,0.47848445,0.21710351,598.87317,0,0,0,0,0,1.0313063,59.373592,336.68988,5.0884933,16609.313,1.589031,91.764885,712.5615,7.511043,24653.31,0.0138331745,0.5161667,1.4113253,0.8500943,2898.4966,0.016009396,0.5675075,1.6487386,0.8748494,3096.126,0,0,0,0,0,0,0,0,0,0
"AB2_mat_1_bin.24","AB2_mat_1_bin.24",97.12,1.819,0.565,"Gammaproteobacteria",16586,2288552,"binsA",34.4519333096843,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Halothiobacillales;f__Halothiobacillaceae;g__28-57-27;s__","N/A","N/A","N/A","N/A","N/A","GCA_020722165.1","95.0","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Halothiobacillales;f__Halothiobacillaceae;g__28-57-27;s__28-57-27 sp020722165","86.19","0.748","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Halothiobacillales;f__Halothiobacillaceae;g__28-57-27;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_020061705.1, s__28-57-27 sp020061705, 95.0, 87.14, 0.722; GCA_002281735.1, s__28-57-27 sp002281735, 95.0, 84.04, 0.64; GCA_006212015.1, s__28-57-27 sp006212015, 95.0, 78.26, 0.278",94.96,11,"0.98261","Genome not assigned to closest species as it falls outside its pre-defined ANI radius","Bacteria","Pseudomonadota","Gammaproteobacteria","Halothiobacillales","Halothiobacillaceae","28-57-27","","28-57-27","Genus","AB2_mat_1","AB2_mat_1","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",0,"no hits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0.00621672,0.35103238,0.89809626,0.35414225,976.8903,0,0,0,0,0,0.5921776,34.092407,320.04517,2.9684875,9689.416,0.5545828,32.02658,282.419,2.6400917,8665.51,0,0,0,0,0,0,0,0,0,0,0.016828297,3.276243,17.138788,0.29837617,397.03137,0.013568481,2.1544063,12.316134,0.3244959,414.6183
"AB2_mat_1_bin.25","AB2_mat_1_bin.25",97.7,1.984,0.545,"Deltaproteobacteria",22308,3542414,"binsC",32.7412868632708,"d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__UBA8130;s__","N/A","N/A","N/A","N/A","N/A","GCA_003509305.1","95.0","d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__UBA8130;s__UBA8130 sp003509305","76.73","0.108","d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__UBA8130;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",78.09,11,"0.89201","N/A","Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae","UBA8130","","UBA8130","Genus","AB2_mat_1","AB2_mat_1","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",1,"one Sequence","Bacteria;""Proteobacteria"";Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;","rdp","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","","","",0.041494988,1.5079492,7.763437,3.594158,9252.881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3723537,21.436867,84.85449,1.8277245,5965.862,0.30049464,17.353252,61.56391,1.4131303,4638.282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB2_mat_1_bin.34","AB2_mat_1_bin.34",91.08,0,0.448,"Alphaproteobacteria",32406,1773684,"binsBC",91.08,"d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__UBA1573;s__","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__UBA1573;s__","ANI","classification based on placement in class-level tree","GCA_001767915.1, s__UBA1573 sp001767915, 95.0, 78.62, 0.419; GCA_003452275.1, s__UBA1573 sp003452275, 95.0, 77.59, 0.282; GCA_016794145.1, s__UBA1573 sp016794145, 95.0, 77.56, 0.215; GCA_020442425.1, s__UBA1573 sp020442425, 95.0, 77.15, 0.103; GCA_002425415.1, s__UBA1573 sp002425415, 95.0, 76.95, 0.129; GCA_003245575.1, s__UBA1573 sp003245575, 95.0, 76.84, 0.124; GCA_001871905.1, s__UBA1573 sp001871905, 95.0, 76.67, 0.162; GCA_002421905.1, s__UBA1573 sp002421905, 95.0, 76.34, 0.155; GCA_016794305.1, s__UBA1573 sp016794305, 95.0, 75.9, 0.061; GCA_018063145.1, s__UBA1573 sp018063145, 95.0, 75.73, 0.068",97.34,11,"0.93384","N/A","Bacteria","Pseudomonadota","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","UBA1573","","UBA1573","Genus","AB2_mat_1","AB2_mat_1","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",0,"no hits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5003755,86.378494,626.2697,7.4669247,24372.73,2.2389815,129.29884,1243.6138,10.641221,34927.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB2_mat_1_bin.40","AB2_mat_1_bin.40",96.58,0,0.442,"Betaproteobacteria",113004,2307546,"binsBC",96.58,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__GCA-2401735;s__","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__GCA-2401735;s__","taxonomic novelty determined using RED","classification based on placement in class-level tree","N/A",97.48,11,"0.93314","N/A","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Methylophilaceae","GCA-2401735","","GCA-2401735","Genus","AB2_mat_1","AB2_mat_1","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",0,"no hits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7178316,156.46896,2798.4504,13.540668,44197.99,2.3882065,137.91644,2237.5225,11.352412,37261.746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB2_mat_1_bin.41","AB2_mat_1_bin.41",90.74,4.054,0.552,"Bacteria",30696,3710469,"binsAB",17.9540957657301,"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Terrimicrobiaceae;g__JAJTZA01;s__","N/A","N/A","N/A","N/A","N/A","GCA_021463905.1","95.0","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Terrimicrobiaceae;g__JAJTZA01;s__JAJTZA01 sp021463905","76.32","0.088","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Terrimicrobiaceae;g__JAJTZA01;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",81.63,11,"0.88758","N/A","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Terrimicrobiaceae","JAJTZA01","","JAJTZA01","Genus","AB2_mat_1","AB2_mat_1","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",0,"no hits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.028629,59.219448,599.2414,5.106125,16666.865,1.3539729,78.19053,1280.8857,6.4337063,21117.193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB2_mat_1_bin.44","AB2_mat_1_bin.44",97.05,1.461,0.456,"Alphaproteobacteria",36165,2660611,"binsA",39.4351889475823,"d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__TH1-2;g__Pseudaquidulcibacter;s__","N/A","N/A","N/A","N/A","N/A","GCA_009773395.1","95.0","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__TH1-2;g__Pseudaquidulcibacter;s__Pseudaquidulcibacter sp009773395","84.99","0.833","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__TH1-2;g__Pseudaquidulcibacter;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_020161405.1, s__Pseudaquidulcibacter sp020161405, 95.0, 77.06, 0.139; GCF_019455445.1, s__Pseudaquidulcibacter saccharophilus, 95.0, 76.13, 0.086; GCA_002337085.1, s__Pseudaquidulcibacter sp002337085, 95.0, 75.93, 0.079",98.15,11,"0.98965","Genome not assigned to closest species as it falls outside its pre-defined ANI radius","Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","TH1-2","Pseudaquidulcibacter","","Pseudaquidulcibacter","Genus","AB2_mat_1","AB2_mat_1","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",1,"one Sequence","Bacteria;""Proteobacteria"";Alphaproteobacteria;unclassified_Alphaproteobacteria;","rdp","Bacteria","Proteobacteria","Alphaproteobacteria","unclassified_Alphaproteobacteria","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50668746,29.170631,118.648186,2.511093,8196.441,0.64325136,37.147095,164.69139,3.0434563,9989.462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB2_mat_1_bin.47","AB2_mat_1_bin.47",88.11,3.436,0.628,"Alphaproteobacteria",15224,3557231,"binsABC",19.8624887285843,"d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__TH1-2;g__Vitreimonas;s__","N/A","N/A","N/A","N/A","N/A","GCA_023242925.1","95.0","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__TH1-2;g__Vitreimonas;s__Vitreimonas sp023242925","88.59","0.783","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__TH1-2;g__Vitreimonas;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCF_004634425.1, s__Vitreimonas flagellata, 95.0, 90.4, 0.769; GCA_017303355.1, s__Vitreimonas sp017303355, 95.0, 83.33, 0.626; GCA_022841905.1, s__Vitreimonas sp022841905, 95.0, 80.16, 0.466; GCA_023384105.1, s__Vitreimonas sp900696695, 95.0, 80.01, 0.517; GCA_016703335.1, s__Vitreimonas sp016703335, 95.0, 80.01, 0.454; GCA_003242075.1, s__Vitreimonas sp003242075, 95.0, 79.91, 0.461; GCA_020848895.1, s__Vitreimonas sp020848895, 95.0, 79.87, 0.415; GCA_001464425.1, s__Vitreimonas sp001464425, 95.0, 79.82, 0.473; GCA_019753105.1, s__Vitreimonas sp019753105, 95.0, 79.79, 0.474; GCA_023410295.1, s__Vitreimonas sp023410295, 95.0, 79.74, 0.448; GCA_002083515.1, s__Vitreimonas sp002083515, 95.0, 79.7, 0.422; GCF_009792355.1, s__Vitreimonas silvestris, 95.0, 79.5, 0.447; GCA_016791385.1, s__Vitreimonas sp016791385, 95.0, 79.49, 0.498; GCA_016791365.1, s__Vitreimonas sp016791365, 95.0, 79.48, 0.431; GCA_014378995.1, s__Vitreimonas sp014378995, 95.0, 79.46, 0.422; GCA_902826145.1, s__Vitreimonas sp902826145, 95.0, 79.17, 0.386; GCA_019636095.1, s__Vitreimonas sp019636095, 95.0, 79.17, 0.387; GCF_001679665.1, s__Vitreimonas manganicus, 95.0, 78.86, 0.412; GCA_024707365.1, s__Vitreimonas sp024707365, 95.0, 78.82, 0.432; GCA_022843225.1, s__Vitreimonas sp022843225, 95.0, 78.67, 0.371; GCA_000974665.1, s__Vitreimonas sp000974665, 95.0, 78.66, 0.385; GCA_023461135.1, s__Vitreimonas sp023461135, 95.0, 78.63, 0.435; GCA_016791325.1, s__Vitreimonas sp016791325, 95.0, 78.43, 0.426; GCA_016195245.1, s__Vitreimonas sp016195245, 95.0, 78.37, 0.326; GCA_003526465.1, s__Vitreimonas sp003526465, 95.0, 78.34, 0.391; GCA_018241475.1, s__Vitreimonas sp018241475, 95.0, 78.28, 0.35; GCA_019753175.1, s__Vitreimonas sp019753175, 95.0, 78.22, 0.342; GCA_021731005.1, s__Vitreimonas sp021731005, 95.0, 77.99, 0.312; GCA_902826245.1, s__Vitreimonas sp902826245, 95.0, 77.94, 0.276; GCA_902826035.1, s__Vitreimonas sp902826035, 95.0, 77.68, 0.296; GCA_002343395.1, s__Vitreimonas sp002343395, 95.0, 77.6, 0.29",81.99,11,"0.98988","Genome not assigned to closest species as it falls outside its pre-defined ANI radius","Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","TH1-2","Vitreimonas","","Vitreimonas","Genus","AB2_mat_1","AB2_mat_1","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",0,"no hits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0.004096256,0.23129858,0.5310691,0.23503175,648.3279,0,0,0,0,0,0.64674723,37.234047,164.10435,3.1841662,10393.412,0.688673,39.77015,175.82408,3.2399828,10634.519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB2_mat_1_bin.51","AB2_mat_1_bin.51",98.78,1.779,0.656,"Sphingomonadales",89693,3474561,"binsABC",35.545160129543,"d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__Sphingopyxis sp001468395","GCF_001468395.1","95.0","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__Sphingopyxis sp001468395","97.02","0.89","GCF_001468395.1","95.0","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__Sphingopyxis sp001468395","97.02","0.89","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__","taxonomic classification defined by topology and ANI","topological placement and ANI have congruent species assignments","GCF_018682675.1, s__Sphingopyxis soli, 95.0, 93.39, 0.795; GCF_001468265.1, s__Sphingopyxis sp001468265, 95.0, 86.84, 0.736; GCF_022024275.1, s__Sphingopyxis sp022024275, 95.0, 86.49, 0.746; GCA_013821905.1, s__Sphingopyxis sp013821905, 95.0, 85.91, 0.761; GCF_024628865.1, s__Sphingopyxis sp024628865, 95.0, 85.8, 0.732; GCF_002993885.1, s__Sphingopyxis lindanitolerans, 95.0, 85.5, 0.708; GCA_900078365.1, s__Sphingopyxis sp900078365, 95.0, 85.38, 0.718; GCF_000756375.1, s__Sphingopyxis sp000756375, 95.0, 85.35, 0.724; GCA_017309275.1, s__Sphingopyxis sp017309275, 95.0, 85.33, 0.714; GCF_001468225.1, s__Sphingopyxis sp001468225, 95.0, 85.28, 0.762; GCF_000756385.1, s__Sphingopyxis sp000756385, 95.0, 85.18, 0.71; GCF_011926545.1, s__Sphingopyxis italica, 95.0, 85.15, 0.724; GCF_001468285.1, s__Sphingopyxis sp001468285, 95.0, 85.09, 0.751; GCA_005503215.1, s__Sphingopyxis sp005503215, 95.0, 85.05, 0.733; GCA_016463645.1, s__Sphingopyxis sp016463645, 95.0, 85.02, 0.632; GCF_014873485.1, s__Sphingopyxis sp014873485, 95.0, 85.02, 0.747; GCF_023197165.1, s__Sphingopyxis sp023197165, 95.0, 84.98, 0.73; GCA_020160755.1, s__Sphingopyxis sp020160755, 95.0, 84.97, 0.726; GCA_023387085.1, s__Sphingopyxis sp023387085, 95.0, 84.97, 0.661; GCF_001427105.1, s__Sphingopyxis sp001427105, 95.0, 84.93, 0.737; GCF_001990265.1, s__Sphingopyxis sp001990265, 95.0, 84.89, 0.681; GCF_013410105.1, s__Sphingopyxis sp013410105, 95.0, 84.86, 0.721; GCF_004795895.1, s__Sphingopyxis sp004795895, 95.0, 84.85, 0.726; GCA_017745175.1, s__Sphingopyxis sp017745175, 95.0, 84.83, 0.682; GCF_002277025.1, s__Sphingopyxis sp002277025, 95.0, 84.82, 0.698; GCF_001314325.1, s__Sphingopyxis macrogoltabida, 95.0, 84.77, 0.747; GCF_001984035.1, s__Sphingopyxis sp001984035, 95.0, 84.74, 0.754; GCF_001307295.1, s__Sphingopyxis macrogoltabida_B, 95.0, 84.64, 0.738; GCA_005503165.1, s__Sphingopyxis sp005503165, 95.0, 84.64, 0.741; GCF_022701295.1, s__Sphingopyxis sp022701295, 95.0, 84.63, 0.73; GCF_003609835.1, s__Sphingopyxis sp003609835, 95.0, 84.6, 0.683; GCF_000803645.1, s__Sphingopyxis fribergensis, 95.0, 84.57, 0.729; GCF_900108295.1, s__Sphingopyxis sp900108295, 95.0, 84.56, 0.719; GCF_014207235.1, s__Sphingopyxis sp014207235, 95.0, 84.49, 0.69; GCF_001468465.1, s__Sphingopyxis sp001468465, 95.0, 84.49, 0.72; GCF_011762125.1, s__Sphingopyxis panaciterrae, 95.0, 84.48, 0.732; GCA_016793775.1, s__Sphingopyxis sp016793775, 95.0, 84.44, 0.694; GCF_003797775.2, s__Sphingopyxis sp001427085, 95.0, 84.42, 0.755; GCF_900188185.1, s__Sphingopyxis indica, 95.0, 84.33, 0.67; GCF_000013985.1, s__Sphingopyxis alaskensis, 95.0, 84.29, 0.688; GCF_001598815.1, s__Sphingopyxis terrae, 95.0, 84.2, 0.694; GCA_015657575.1, s__Sphingopyxis sp015657575, 95.0, 84.2, 0.604; GCF_001591045.1, s__Sphingopyxis granuli, 95.0, 84.15, 0.617; GCF_012274265.1, s__Sphingopyxis microcysteis, 95.0, 84.15, 0.685; GCF_023822045.1, s__Sphingopyxis sp001047015, 95.0, 84.08, 0.74; GCA_003241685.1, s__Sphingopyxis macrogoltabida_A, 95.0, 83.98, 0.643; GCA_001830555.1, s__Sphingopyxis sp001830555, 95.0, 83.96, 0.664; GCF_005503695.1, s__Sphingopyxis sp003609815, 95.0, 83.95, 0.683; GCA_023424275.1, s__Sphingopyxis sp023424275, 95.0, 83.94, 0.582; GCF_014199295.1, s__Sphingopyxis panaciterrulae, 95.0, 83.93, 0.688; GCA_016793825.1, s__Sphingopyxis sp016793825, 95.0, 83.91, 0.694; GCF_005502465.1, s__Sphingopyxis sp005502465, 95.0, 83.87, 0.696; GCA_023422695.1, s__Sphingopyxis sp023422695, 95.0, 83.84, 0.632; GCF_014595975.1, s__Sphingopyxis sp014595975, 95.0, 83.81, 0.691; GCF_015475875.1, s__Sphingopyxis solisilvae, 95.0, 83.78, 0.665; GCA_018823905.1, s__Sphingopyxis sp018823905, 95.0, 83.55, 0.633; GCA_016463225.1, s__Sphingopyxis sp016463225, 95.0, 83.47, 0.659; GCF_016734905.1, s__Sphingopyxis sp016734905, 95.0, 83.44, 0.683; GCF_002205635.1, s__Sphingopyxis witflariensis, 95.0, 83.43, 0.681; GCA_002454115.1, s__Sphingopyxis sp002454115, 95.0, 83.31, 0.68; GCA_002842935.1, s__Sphingopyxis sp002842935, 95.0, 83.22, 0.549; GCA_019459305.1, s__Sphingopyxis sp019459305, 95.0, 83.17, 0.65; GCF_002205675.1, s__Sphingopyxis bauzanensis, 95.0, 83.13, 0.668; GCA_016704835.1, s__Sphingopyxis sp016704835, 95.0, 83.02, 0.675; GCF_900168005.1, s__Sphingopyxis flava, 95.0, 81.5, 0.586; GCF_001278035.1, s__Sphingopyxis sp001278035, 95.0, 81.44, 0.63; GCF_000763945.1, s__Sphingopyxis sp000763945, 95.0, 80.93, 0.559; GCA_013911715.1, s__Sphingopyxis sp013911715, 95.0, 79.13, 0.53; GCA_012035435.1, s__Sphingopyxis sp012035435, 95.0, 78.75, 0.327; GCF_012979535.1, s__Sphingopyxis lacunae, 95.0, 78.23, 0.279; GCF_020687785.1, s__Sphingopyxis sp020687785, 95.0, 77.25, 0.224; GCA_020850455.1, s__Sphingopyxis sp020850455, 95.0, 76.46, 0.224",95.59,11,"N/A","N/A","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis","Sphingopyxis sp001468395","Sphingopyxis sp001468395","Species","AB2_mat_1","AB2_mat_1","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",0,"no hits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.433878,82.55014,509.39648,7.071024,23080.479,1.8982574,109.62239,804.3693,8.974687,29457.395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
